State,Employed people,Employment to population ratio,Unemployment rate,Underemployment rate,Participation rate
New South Wales," 4,478,500.00 ",63.70%,4.00%,6.10%,66.30%
Victoria," 3,770,500.00 ",65.00%,4.50%,6.60%,68.10%
Queensland," 2,951,000.00 ",64.30%,4.20%,6.70%,67.10%
South Australia," 941,200.00 ",60.00%,4.20%,7.30%,62.60%
Western Australia," 1,616,400.00 ",66.30%,3.70%,5.60%,68.90%
Tasmania," 282,000.00 ",58.30%,4.10%,6.80%,60.80%
Northern Territory," 140,100.00 ",70.00%,4.30%,4.40%,73.10%
Australian Capital Territory," 271,300.00 ",70.10%,3.60%,5.30%,72.70%
Australia," 14,462,100.00 ",64.30%,4.20%,6.40%,67.10%
,,,,,
,,,,,
,,,,,
