Country,Year,Gender,Metric,Value
Afghanistan,2015,Female,Employment to population ratio,16.89
Afghanistan,2015,Male,Employment to population ratio,68.965
Afghanistan,2015,Female,Labour Force Participation Rate,19.096
Afghanistan,2015,Male,Labour Force Participation Rate,75.253
Afghanistan,2015,Female,Vulnerable Employment,94.11133622
Afghanistan,2015,Male,Vulnerable Employment,82.94094643
Albania,2015,Female,Employment to population ratio,38.946
Albania,2015,Male,Employment to population ratio,53.029
Albania,2015,Female,Labour Force Participation Rate,46.989
Albania,2015,Male,Labour Force Participation Rate,64.08
Albania,2015,Female,Part Time Employment,37.01
Albania,2015,Male,Part Time Employment,26.22
Albania,2015,Female,Vulnerable Employment,56.28318853
Albania,2015,Male,Vulnerable Employment,56.5744714
Algeria,2015,Female,Employment to population ratio,13.493
Algeria,2015,Male,Employment to population ratio,59.741
Algeria,2015,Female,Labour Force Participation Rate,16.179
Algeria,2015,Male,Labour Force Participation Rate,66.336
Algeria,2015,Female,Vulnerable Employment,24.03178338
Algeria,2015,Male,Vulnerable Employment,27.53709041
Angola,2015,Female,Employment to population ratio,61.008
Angola,2015,Male,Employment to population ratio,66.452
Angola,2015,Female,Labour Force Participation Rate,73.936
Angola,2015,Male,Labour Force Participation Rate,78.563
Angola,2015,Female,Vulnerable Employment,70.77072422
Angola,2015,Male,Vulnerable Employment,47.38222921
Argentina,2015,Female,Employment to population ratio,43.374
Argentina,2015,Male,Employment to population ratio,66.635
Argentina,2015,Female,Labour Force Participation Rate,47.512
Argentina,2015,Male,Labour Force Participation Rate,71.497
Argentina,2015,Female,Vulnerable Employment,17.95292261
Argentina,2015,Male,Vulnerable Employment,22.47015829
Armenia,2015,Female,Employment to population ratio,49.508
Armenia,2015,Male,Employment to population ratio,59.911
Armenia,2015,Female,Labour Force Participation Rate,55.651
Armenia,2015,Male,Labour Force Participation Rate,69.351
Armenia,2015,Female,Part Time Employment,48.27
Armenia,2015,Male,Part Time Employment,27.59
Armenia,2015,Female,Vulnerable Employment,67.04019701
Armenia,2015,Male,Vulnerable Employment,60.00184287
Australia,2015,Female,Employment to population ratio,55.517
Australia,2015,Male,Employment to population ratio,66.788
Australia,2015,Female,Labour Force Participation Rate,59.108
Australia,2015,Male,Labour Force Participation Rate,71.086
Australia,2015,Female,Part Time Employment,59.12
Australia,2015,Male,Part Time Employment,33.71
Australia,2015,Female,Vulnerable Employment,6.477987144
Australia,2015,Male,Vulnerable Employment,10.97253943
Austria,2015,Female,Employment to population ratio,52.487
Austria,2015,Male,Employment to population ratio,62.002
Austria,2015,Female,Labour Force Participation Rate,55.466
Austria,2015,Male,Labour Force Participation Rate,66.087
Austria,2015,Female,Part Time Employment,60.75
Austria,2015,Male,Part Time Employment,30.32
Austria,2015,Female,Vulnerable Employment,9.028312246
Austria,2015,Male,Vulnerable Employment,9.660619551
Azerbaijan,2015,Female,Employment to population ratio,57.396
Azerbaijan,2015,Male,Employment to population ratio,63.426
Azerbaijan,2015,Female,Labour Force Participation Rate,60.96
Azerbaijan,2015,Male,Labour Force Participation Rate,66.119
Azerbaijan,2015,Female,Part Time Employment,23.33
Azerbaijan,2015,Male,Part Time Employment,14.21
Azerbaijan,2015,Female,Vulnerable Employment,63.55029825
Azerbaijan,2015,Male,Vulnerable Employment,47.92573424
"Bahamas, The",2015,Female,Employment to population ratio,58.027
"Bahamas, The",2015,Male,Employment to population ratio,72.251
"Bahamas, The",2015,Female,Labour Force Participation Rate,66.702
"Bahamas, The",2015,Male,Labour Force Participation Rate,81.263
"Bahamas, The",2015,Female,Vulnerable Employment,8.122015568
"Bahamas, The",2015,Male,Vulnerable Employment,21.00634887
Bahrain,2015,Female,Employment to population ratio,41.402
Bahrain,2015,Male,Employment to population ratio,85.772
Bahrain,2015,Female,Labour Force Participation Rate,43.029
Bahrain,2015,Male,Labour Force Participation Rate,86.158
Bahrain,2015,Female,Vulnerable Employment,0.99096894
Bahrain,2015,Male,Vulnerable Employment,1.025052394
Bangladesh,2015,Female,Employment to population ratio,30.428
Bangladesh,2015,Male,Employment to population ratio,77.886
Bangladesh,2015,Female,Labour Force Participation Rate,32.847
Bangladesh,2015,Male,Labour Force Participation Rate,80.399
Bangladesh,2015,Female,Vulnerable Employment,73.39832303
Bangladesh,2015,Male,Vulnerable Employment,53.1700225
Barbados,2015,Female,Employment to population ratio,55.386
Barbados,2015,Male,Employment to population ratio,60.277
Barbados,2015,Female,Labour Force Participation Rate,60.847
Barbados,2015,Male,Labour Force Participation Rate,67.451
Barbados,2015,Female,Vulnerable Employment,10.20361854
Barbados,2015,Male,Vulnerable Employment,21.07166235
Belarus,2015,Female,Employment to population ratio,56.777
Belarus,2015,Male,Employment to population ratio,65.848
Belarus,2015,Female,Labour Force Participation Rate,59.304
Belarus,2015,Male,Labour Force Participation Rate,71.19
Belarus,2015,Female,Vulnerable Employment,1.909353768
Belarus,2015,Male,Vulnerable Employment,4.961943788
Belgium,2015,Female,Employment to population ratio,44.275
Belgium,2015,Male,Employment to population ratio,53.531
Belgium,2015,Female,Labour Force Participation Rate,48.004
Belgium,2015,Male,Labour Force Participation Rate,58.883
Belgium,2015,Female,Part Time Employment,56.09
Belgium,2015,Male,Part Time Employment,26.51
Belgium,2015,Female,Vulnerable Employment,8.692314194
